"Ред.бр","Уп.Бр","Вид на лиценца","Назив на правното лице и седиште / датум на важност на лиценцата","Назив на угостителски објект","Адреса на седиште на угпстителскипт објект","година"
"138","ФП1 13-268
03.06.2022","кабаре","ДУУФ Ки К КОНСУРАКШН ДОО Штип/ Суитлак бр.1А Штип /ФП1 13-268 од
06.07.2022 година","БРИОНИ","Фл.Суитлак бр.1А Штип","2022"
"139","ФП1 13-542
02.11.2022","кабаре","ДУФ СУАРС КЛФБ ДООЕЛ Охрид / Фл.Железнишка бр.114 Охрид / ФП1 13-542
од 15.11.2022","СТАРС КЛУБ","Фл.Железнишка бр.114 Охрид","2022"
"140","ФП1 13-553
16.11.2022","кабаре","ДФУФ РЕБОРН ДОО Квадарци/ Фл.Илинденска бр.11 Кавадарци / ФП1 13- 553
од 17.11.2022","РЕБОРН","Фл.Цветан Димов бб- Кавадарци","2022"
"141","ФП1 13-457
25.08.2022","кабаре","ДФУП КЛФБ УЕРМИНАЛ ДООЕЛ Скопје/ Фл.Никола Карев бр.22 Скопје / ФП1
13-457 од 24.11.2022","КЛУБ ТЕРМИНАЛ","Фл,Никола Карев бр.22 Скопје","2022"
"142","ФП1 13- 544
24.11.2022","кабаре","ДПУФ Уалевски Илија Мирко и други ТИФ ДОО Битола / ул.Иво Лола Рибар
бб / Олимписки базен Битола / ФП 1 13- 544 од 24.11.2022","ИМПЕРАТОР","ул.Иво Лола Рибар бб / Олимписки базен Битола","2022"
"143","ФП1 13-543
02.11.2022","кабаре","ДПУФ КС ФЕЛИЦИЈА ДООЕЛ Битола/ Фл.Новашки пат бр.14 Битола / ФП1 13-
543 ид 28.11.2022","ГОЛД ФЕЛИЦИЈА","Фл.Новашки пат бр.14 Битола","2022"
"144","ФП1 13-561
25.11.2022","кабаре","ДПУФ ЕФРО ПЛАУИНФМ КЛФБ ДОО Струмица/ Фл.Ленинова бр.44 / ГтЦ
Глобал Струмица / ФП1 13 - 561 од 05.12.2022 година","ЕУРО ПЛАТИНУМ КЛУБ","Фл.Моша Пијаде бр.1 Струмица","2022"
"145","ФП1 13-462
30.08.2022","кабаре","ДКЗУФ ЕНЕРЧИ НАЈУ КЛФБ ДООЕЛ Уетово / Фл.Маршал Уито бр.28 Уетово /ФП
1 13 - 462 од 07.12.2022","ЕНЕРЧИ НАЈТ КЛУБ","Фл.Маршал Уито бр.28 Уетово","2022"
"146","ФП1 13-595
07.12.2022","кабаре","ДФУФ ПРИЈАУЕЛСУВО ДООЕЛ Охрид / Фл.Партизанска бр.2 Охрид/ФП113-12-
2022","ОМНИА","Фл.Партизанска бр.2 Охрид","2022"
"147","ФП1 13- 604
13.12.2022","диско клуб","ДУФ АБ РОШЕ ИНВЕСУ ДООЕЛ Охрид - Фл.Железнишка бр.10 - зграда 1
Охрид ФП 1 13- 604 од 21.12.2022","ИНКЛФЗИВ","Фл.Железнишка бр.10 - зграда 1  Охрид","2022"
"148","ФП1 13-555
21.11.2022","кабаре","ДПУФ ЈОЛО КЛФБ ПП ДООЕЛ Струмица / Фл.Ленинова бр.3-/1-13 Струмица /
ФП1 13- 555 од 27.11.2022","ЈОЛО КЛУБ","Фл.Јосиф Јосифовски - Свештарот бр.20 Струмица","2022"
"149","ФП1 13-527
21.10.2022","кабаре","ДУФ ЕПИЦЕНУАР ГРФП 091 ДООЕЛ Скопје/Фл.Булевар Св.Климент Охридски
бр.60А Скопје / ФП1 13-26.01.2023","ЕПИЦЕНТАР","Фл.Булевар Св.Климент Охридски бр.60А Скопје","2023"
"150","ФП1 13-582
30.11.2022","кабаре","ДФУФ ЕКВИЛИБРИФМ ДЕН И НОЌ ДООЕЛ Скопје/ Фл.Скупи.бр.1 Скопје /ФП1
13-582 од 18.01.2023","ЕКВИЛИБРИУМ","Фл.Скупи.бр.1 Скопје","2023"
"151","ФП1 13- 639
21.12.2022","кабаре","ДФУФ СУАНИЦА 26 ДОО Скопје / Фл.Јордан Мијалков бр.26 Скопје / ФП1 13-
639 од 16.02.2023","СТАНИЦА 26","Фл.Јордан Мијалков бр.26 Скопје","2023"
"152","ФП1 13- 640
21.12.2022","кабаре","ДФУФ СУАНИЦА 26 ДОО Скопје / Фл.Јордан Мијалков бр.26 Скопје / ФП1 13-
640 од 16.02.2023","1212","Фл.50-та Девизија бр.25 локал 6 Скопје","2023"
"153","ФП1 13- 26
25.01.2023","кабаре","ДПУФФ ПАБЛИК ПЛЕЈС ДОО Куманово / Фл.Ленинова бр,23 Куманово/ФП1 13-
26 од 03.02.2023","ДАРК","Фл.Ленинова бр,23 Куманово","2023"
"","ФП1 13- 29
27.01.2023","кабаре","ДФУФ МФСАНДРА ДООЕЛ Скопје / Фл.Кеј 13-ти Ноември бр.ГУЦ Локал 217
Скопје / ФП1 13-29 од 27.02.2023","МУСАНДРА","Фл.Кеј 13-ти Ноември бр.ГУЦ Локал 217 Скопје","2023"
"154","ФП1 13-45
13.02.2023","кабаре","ДПУФ МИСУРАЛ ГРФП ДООЕЛ Велес / Фл.8 - ми Септември бр.57 Велес / ФП1
13- 45 од 16.02.2023","МИСТРАЛ","Фл.8 - ми Септември бр.57 Велес","2023"
"155","ФП1 13- 11
05.01.2023","кабаре","ДПУФ АРХАНГЕЛОС 2007 ДООЕЛ Прилеп /Фл.Архиепископ Доситеј бр.107
Прилеп/ ФП 1 13- 11 од 18.01.2023","СТАНИЦА 512","Архиепископ Доситеј бр.107 Прилеп","2023"
"156","ФП13- 62
20.02.2023","кабаре","ДУФ БВ - АКРОПОЛИС ДООЕЛ Неготино - Фл.Ацо Ачи Илов бр.13 Неготино
ФП1 13-62 од 23.02.2022","БОРИС","Фл.Ацо Ачи Илов бр.13 Неготино","2023"
